providerEventId,providerMarketId,providerMarketName,statId,entityId,period,side,line,normalizationStatus
"0QPH7IUrjDzHoBKual5i","points-all-1h-ml3way-draw","1st Half 3-Way Moneyline","points","all","1h","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-1q-eo-even","Total 1st Quarter Points Even/Odd","points","all","1q","EVEN","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-1q-eo-odd","Total 1st Quarter Points Even/Odd","points","all","1q","ODD","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-1q-ml3way-draw","1st Quarter 3-Way Moneyline","points","all","1q","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-2q-ml3way-draw","2nd Quarter 3-Way Moneyline","points","all","2q","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-3q-ml3way-draw","3rd Quarter 3-Way Moneyline","points","all","3q","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-4q-ml3way-draw","4th Quarter 3-Way Moneyline","points","all","4q","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1h-ml3way-away","1st Half 3-Way Moneyline","points","away","1h","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1h-yn-no","Atlanta Falcons Any 1st Half Points Yes/No","points","away","1h","NO","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1h-yn-yes","Atlanta Falcons Any 1st Half Points Yes/No","points","away","1h","YES","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1q-ml3way-away","1st Quarter 3-Way Moneyline","points","away","1q","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2h-yn-no","Atlanta Falcons Any 2nd Half Points Yes/No","points","away","2h","NO","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2h-yn-yes","Atlanta Falcons Any 2nd Half Points Yes/No","points","away","2h","YES","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2q-ml3way-away","2nd Quarter 3-Way Moneyline","points","away","2q","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-3q-ml3way-away","3rd Quarter 3-Way Moneyline","points","away","3q","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-4q-ml3way-away","4th Quarter 3-Way Moneyline","points","away","4q","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-game-yn-no","Atlanta Falcons Any Points Yes/No","points","away","game","NO","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-game-yn-yes","Atlanta Falcons Any Points Yes/No","points","away","game","YES","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-1h-ml3way-home","1st Half 3-Way Moneyline","points","home","1h","HOME","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-1q-ml3way-home","1st Quarter 3-Way Moneyline","points","home","1q","HOME","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-2q-ml3way-home","2nd Quarter 3-Way Moneyline","points","home","2q","HOME","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-3q-ml3way-home","3rd Quarter 3-Way Moneyline","points","home","3q","HOME","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-4q-ml3way-home","4th Quarter 3-Way Moneyline","points","home","4q","HOME","","PARTIALLY_MAPPED"
